Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2017-01-01,62,26
2017-01-08,81,23
2017-01-15,92,22
2017-01-22,79,27
2017-01-29,78,24
2017-02-05,77,25
2017-02-12,76,29
2017-02-19,77,24
2017-02-26,77,25
2017-03-05,85,21
2017-03-12,88,21
2017-03-19,80,22
2017-03-26,88,24
2017-04-02,68,27
2017-04-09,67,26
2017-04-16,66,22
2017-04-23,77,22
2017-04-30,82,22
2017-05-07,85,24
2017-05-14,87,21
2017-05-21,86,22
2017-05-28,100,19
2017-06-04,88,18
2017-06-11,75,20
2017-06-18,58,21
2017-06-25,57,22
2017-07-02,65,22
2017-07-09,53,23
2017-07-16,61,28
2017-07-23,48,24
2017-07-30,53,27
2017-08-06,47,23
2017-08-13,47,29
2017-08-20,50,25
2017-08-27,52,23
2017-09-03,53,24
2017-09-10,54,23
2017-09-17,60,23
2017-09-24,63,25
2017-10-01,61,26
2017-10-08,67,23
2017-10-15,73,25
2017-10-22,66,23
2017-10-29,62,27
2017-11-05,69,24
2017-11-12,85,25
2017-11-19,68,18
2017-11-26,72,19
2017-12-03,64,23
2017-12-10,74,22
2017-12-17,57,24
2017-12-24,64,27
2017-12-31,77,27
