Category: All categories

Week,Energy: (Portugal)
2012-01-01,70
2012-01-08,85
2012-01-15,84
2012-01-22,81
2012-01-29,68
2012-02-05,78
2012-02-12,74
2012-02-19,63
2012-02-26,75
2012-03-04,76
2012-03-11,82
2012-03-18,79
2012-03-25,62
2012-04-01,51
2012-04-08,66
2012-04-15,88
2012-04-22,75
2012-04-29,80
2012-05-06,92
2012-05-13,94
2012-05-20,95
2012-05-27,100
2012-06-03,81
2012-06-10,75
2012-06-17,67
2012-06-24,70
2012-07-01,64
2012-07-08,59
2012-07-15,53
2012-07-22,45
2012-07-29,43
2012-08-05,41
2012-08-12,43
2012-08-19,44
2012-08-26,46
2012-09-02,47
2012-09-09,57
2012-09-16,65
2012-09-23,56
2012-09-30,52
2012-10-07,57
2012-10-14,60
2012-10-21,60
2012-10-28,63
2012-11-04,67
2012-11-11,63
2012-11-18,65
2012-11-25,71
2012-12-02,68
2012-12-09,65
2012-12-16,55
2012-12-23,63
2012-12-30,72
2013-01-06,78
2013-01-13,72
2013-01-20,78
2013-01-27,68
2013-02-03,67
2013-02-10,54
2013-02-17,69
2013-02-24,73
2013-03-03,78
2013-03-10,65
2013-03-17,53
2013-03-24,62
2013-03-31,65
2013-04-07,79
2013-04-14,72
2013-04-21,68
2013-04-28,73
2013-05-05,73
2013-05-12,79
2013-05-19,85
2013-05-26,89
2013-06-02,74
2013-06-09,56
2013-06-16,54
2013-06-23,49
2013-06-30,41
2013-07-07,43
2013-07-14,47
2013-07-21,42
2013-07-28,36
2013-08-04,36
2013-08-11,30
2013-08-18,39
2013-08-25,39
2013-09-01,39
2013-09-08,46
2013-09-15,48
2013-09-22,53
2013-09-29,57
2013-10-06,58
2013-10-13,56
2013-10-20,61
2013-10-27,62
2013-11-03,63
2013-11-10,63
2013-11-17,66
2013-11-24,78
2013-12-01,87
2013-12-08,80
2013-12-15,60
2013-12-22,49
2013-12-29,58
