Category: All categories

Week,Food: (Portugal)
2015-01-04,85
2015-01-11,84
2015-01-18,85
2015-01-25,93
2015-02-01,89
2015-02-08,89
2015-02-15,77
2015-02-22,88
2015-03-01,83
2015-03-08,87
2015-03-15,97
2015-03-22,91
2015-03-29,94
2015-04-05,98
2015-04-12,97
2015-04-19,89
2015-04-26,86
2015-05-03,89
2015-05-10,89
2015-05-17,88
2015-05-24,85
2015-05-31,86
2015-06-07,84
2015-06-14,78
2015-06-21,89
2015-06-28,84
2015-07-05,85
2015-07-12,85
2015-07-19,90
2015-07-26,86
2015-08-02,81
2015-08-09,90
2015-08-16,93
2015-08-23,93
2015-08-30,88
2015-09-06,91
2015-09-13,86
2015-09-20,100
2015-09-27,91
2015-10-04,93
2015-10-11,100
2015-10-18,98
2015-10-25,97
2015-11-01,93
2015-11-08,86
2015-11-15,88
2015-11-22,91
2015-11-29,89
2015-12-06,81
2015-12-13,82
2015-12-20,67
2015-12-27,79
