Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2006-01-01,65,32
2006-01-08,66,30
2006-01-15,60,32
2006-01-22,52,26
2006-01-29,58,36
2006-02-05,63,25
2006-02-12,44,38
2006-02-19,66,32
2006-02-26,56,34
2006-03-05,55,35
2006-03-12,57,23
2006-03-19,60,43
2006-03-26,51,31
2006-04-02,44,25
2006-04-09,42,28
2006-04-16,62,34
2006-04-23,63,15
2006-04-30,83,25
2006-05-07,92,23
2006-05-14,86,24
2006-05-21,100,25
2006-05-28,75,24
2006-06-04,97,14
2006-06-11,60,33
2006-06-18,41,27
2006-06-25,38,29
2006-07-02,33,41
2006-07-09,33,22
2006-07-16,33,45
2006-07-23,34,33
2006-07-30,28,46
2006-08-06,30,39
2006-08-13,28,36
2006-08-20,24,37
2006-08-27,35,39
2006-09-03,26,41
2006-09-10,28,30
2006-09-17,40,38
2006-09-24,52,31
2006-10-01,61,28
2006-10-08,55,32
2006-10-15,51,29
2006-10-22,62,36
2006-10-29,49,30
2006-11-05,54,32
2006-11-12,45,30
2006-11-19,56,33
2006-11-26,50,29
2006-12-03,47,27
2006-12-10,48,37
2006-12-17,32,23
2006-12-24,29,24
2006-12-31,39,27
