Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2014-01-05,9,49
2014-01-12,9,72
2014-01-19,9,50
2014-01-26,9,47
2014-02-02,8,56
2014-02-09,9,100
2014-02-16,8,53
2014-02-23,8,66
2014-03-02,8,49
2014-03-09,8,57
2014-03-16,9,65
2014-03-23,9,62
2014-03-30,9,49
2014-04-06,7,56
2014-04-13,7,62
2014-04-20,7,65
2014-04-27,7,46
2014-05-04,9,45
2014-05-11,9,38
2014-05-18,11,35
2014-05-25,11,36
2014-06-01,11,33
2014-06-08,10,45
2014-06-15,9,47
2014-06-22,9,47
2014-06-29,8,40
2014-07-06,8,34
2014-07-13,7,48
2014-07-20,6,61
2014-07-27,6,46
2014-08-03,5,37
2014-08-10,5,47
2014-08-17,6,58
2014-08-24,5,50
2014-08-31,7,77
2014-09-07,6,38
2014-09-14,7,49
2014-09-21,7,62
2014-09-28,8,47
2014-10-05,9,48
2014-10-12,8,42
2014-10-19,7,49
2014-10-26,8,50
2014-11-02,8,44
2014-11-09,8,40
2014-11-16,7,40
2014-11-23,7,46
2014-11-30,7,44
2014-12-07,8,40
2014-12-14,7,50
2014-12-21,6,43
2014-12-28,8,47
