Category: All categories

Week,Footwear: (Portugal)
2013-01-06,43
2013-01-13,29
2013-01-20,20
2013-01-27,24
2013-02-03,100
2013-02-10,20
2013-02-17,23
2013-02-24,30
2013-03-03,0
2013-03-10,45
2013-03-17,19
2013-03-24,72
2013-03-31,0
2013-04-07,22
2013-04-14,32
2013-04-21,22
2013-04-28,39
2013-05-05,47
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,56
2013-06-09,17
2013-06-16,40
2013-06-23,27
2013-06-30,31
2013-07-07,0
2013-07-14,41
2013-07-21,61
2013-07-28,24
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,20
2013-09-15,50
2013-09-22,0
2013-09-29,18
2013-10-06,30
2013-10-13,26
2013-10-20,0
2013-10-27,46
2013-11-03,59
2013-11-10,63
2013-11-17,0
2013-11-24,20
2013-12-01,24
2013-12-08,17
2013-12-15,54
2013-12-22,71
2013-12-29,78
2014-01-05,0
2014-01-12,0
2014-01-19,36
2014-01-26,0
2014-02-02,33
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,48
2014-03-09,0
2014-03-16,0
2014-03-23,35
2014-03-30,32
2014-04-06,33
2014-04-13,27
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,31
2014-05-18,34
2014-05-25,46
2014-06-01,0
2014-06-08,22
2014-06-15,20
2014-06-22,0
2014-06-29,23
2014-07-06,0
2014-07-13,36
2014-07-20,52
2014-07-27,68
2014-08-03,43
2014-08-10,24
2014-08-17,0
2014-08-24,44
2014-08-31,0
2014-09-07,57
2014-09-14,51
2014-09-21,73
2014-09-28,0
2014-10-05,32
2014-10-12,20
2014-10-19,0
2014-10-26,43
2014-11-02,0
2014-11-09,0
2014-11-16,41
2014-11-23,55
2014-11-30,0
2014-12-07,63
2014-12-14,21
2014-12-21,56
2014-12-28,0
