Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2007-01-07,22,63
2007-01-14,24,63
2007-01-21,20,59
2007-01-28,23,55
2007-02-04,19,56
2007-02-11,17,57
2007-02-18,15,57
2007-02-25,18,54
2007-03-04,25,54
2007-03-11,20,42
2007-03-18,24,50
2007-03-25,17,50
2007-04-01,18,54
2007-04-08,24,56
2007-04-15,26,52
2007-04-22,25,52
2007-04-29,22,55
2007-05-06,32,51
2007-05-13,31,47
2007-05-20,29,54
2007-05-27,30,50
2007-06-03,30,51
2007-06-10,25,52
2007-06-17,17,54
2007-06-24,17,53
2007-07-01,15,58
2007-07-08,14,60
2007-07-15,14,64
2007-07-22,14,61
2007-07-29,13,57
2007-08-05,11,60
2007-08-12,13,66
2007-08-19,15,65
2007-08-26,11,65
2007-09-02,20,57
2007-09-09,13,58
2007-09-16,17,51
2007-09-23,23,56
2007-09-30,18,52
2007-10-07,23,55
2007-10-14,24,59
2007-10-21,23,73
2007-10-28,23,61
2007-11-04,27,63
2007-11-11,27,59
2007-11-18,24,62
2007-11-25,27,88
2007-12-02,24,82
2007-12-09,25,78
2007-12-16,14,67
2007-12-23,14,100
2007-12-30,16,71
