Category: All categories

Week,Footwear: (Portugal)
2009-01-04,41
2009-01-11,54
2009-01-18,0
2009-01-25,0
2009-02-01,43
2009-02-08,0
2009-02-15,0
2009-02-22,32
2009-03-01,0
2009-03-08,0
2009-03-15,20
2009-03-22,35
2009-03-29,0
2009-04-05,0
2009-04-12,60
2009-04-19,0
2009-04-26,54
2009-05-03,37
2009-05-10,28
2009-05-17,17
2009-05-24,100
2009-05-31,41
2009-06-07,0
2009-06-14,0
2009-06-21,41
2009-06-28,41
2009-07-05,52
2009-07-12,23
2009-07-19,0
2009-07-26,59
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,47
2009-09-06,0
2009-09-13,20
2009-09-20,32
2009-09-27,26
2009-10-04,0
2009-10-11,0
2009-10-18,36
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,84
2009-11-22,26
2009-11-29,0
2009-12-06,57
2009-12-13,61
2009-12-20,0
2009-12-27,0
