Category: All categories

Week,Real Estate: (Portugal)
2012-01-01,91
2012-01-08,91
2012-01-15,87
2012-01-22,91
2012-01-29,87
2012-02-05,85
2012-02-12,84
2012-02-19,87
2012-02-26,83
2012-03-04,83
2012-03-11,80
2012-03-18,80
2012-03-25,74
2012-04-01,76
2012-04-08,81
2012-04-15,94
2012-04-22,81
2012-04-29,84
2012-05-06,74
2012-05-13,77
2012-05-20,77
2012-05-27,73
2012-06-03,74
2012-06-10,73
2012-06-17,66
2012-06-24,67
2012-07-01,72
2012-07-08,79
2012-07-15,78
2012-07-22,81
2012-07-29,83
2012-08-05,82
2012-08-12,89
2012-08-19,92
2012-08-26,96
2012-09-02,84
2012-09-09,83
2012-09-16,78
2012-09-23,79
2012-09-30,80
2012-10-07,78
2012-10-14,73
2012-10-21,82
2012-10-28,72
2012-11-04,76
2012-11-11,72
2012-11-18,70
2012-11-25,74
2012-12-02,69
2012-12-09,58
2012-12-16,57
2012-12-23,63
2012-12-30,72
2013-01-06,83
2013-01-13,76
2013-01-20,79
2013-01-27,80
2013-02-03,85
2013-02-10,81
2013-02-17,78
2013-02-24,75
2013-03-03,80
2013-03-10,80
2013-03-17,85
2013-03-24,79
2013-03-31,89
2013-04-07,89
2013-04-14,87
2013-04-21,78
2013-04-28,75
2013-05-05,74
2013-05-12,80
2013-05-19,78
2013-05-26,84
2013-06-02,69
2013-06-09,69
2013-06-16,71
2013-06-23,69
2013-06-30,65
2013-07-07,72
2013-07-14,79
2013-07-21,72
2013-07-28,78
2013-08-04,83
2013-08-11,81
2013-08-18,86
2013-08-25,89
2013-09-01,81
2013-09-08,87
2013-09-15,93
2013-09-22,86
2013-09-29,82
2013-10-06,93
2013-10-13,100
2013-10-20,91
2013-10-27,83
2013-11-03,85
2013-11-10,92
2013-11-17,78
2013-11-24,77
2013-12-01,72
2013-12-08,72
2013-12-15,57
2013-12-22,64
2013-12-29,81
