Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2014-01-05,85,57
2014-01-12,80,61
2014-01-19,80,62
2014-01-26,82,65
2014-02-02,73,67
2014-02-09,80,61
2014-02-16,71,69
2014-02-23,76,55
2014-03-02,68,63
2014-03-09,72,55
2014-03-16,81,56
2014-03-23,86,57
2014-03-30,77,63
2014-04-06,62,63
2014-04-13,61,61
2014-04-20,67,55
2014-04-27,67,53
2014-05-04,79,58
2014-05-11,86,63
2014-05-18,99,67
2014-05-25,100,60
2014-06-01,97,63
2014-06-08,88,59
2014-06-15,84,58
2014-06-22,78,59
2014-06-29,69,64
2014-07-06,69,56
2014-07-13,61,63
2014-07-20,52,59
2014-07-27,51,62
2014-08-03,48,63
2014-08-10,41,63
2014-08-17,51,65
2014-08-24,46,65
2014-08-31,62,67
2014-09-07,56,64
2014-09-14,66,66
2014-09-21,66,59
2014-09-28,72,64
2014-10-05,79,64
2014-10-12,71,69
2014-10-19,64,69
2014-10-26,74,67
2014-11-02,72,64
2014-11-09,76,64
2014-11-16,67,68
2014-11-23,66,67
2014-11-30,63,58
2014-12-07,74,62
2014-12-14,65,48
2014-12-21,58,44
2014-12-28,73,58
