Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2011-01-02,66,14
2011-01-09,82,12
2011-01-16,79,18
2011-01-23,77,16
2011-01-30,74,10
2011-02-06,81,16
2011-02-13,72,13
2011-02-20,83,16
2011-02-27,76,18
2011-03-06,64,18
2011-03-13,87,11
2011-03-20,80,14
2011-03-27,76,16
2011-04-03,69,16
2011-04-10,53,14
2011-04-17,58,16
2011-04-24,73,16
2011-05-01,82,15
2011-05-08,83,17
2011-05-15,93,12
2011-05-22,100,12
2011-05-29,98,19
2011-06-05,89,19
2011-06-12,98,16
2011-06-19,80,11
2011-06-26,100,11
2011-07-03,83,22
2011-07-10,81,14
2011-07-17,92,17
2011-07-24,78,16
2011-07-31,56,21
2011-08-07,46,16
2011-08-14,43,21
2011-08-21,52,17
2011-08-28,44,13
2011-09-04,52,13
2011-09-11,49,13
2011-09-18,58,12
2011-09-25,61,16
2011-10-02,65,21
2011-10-09,61,13
2011-10-16,73,14
2011-10-23,64,13
2011-10-30,58,15
2011-11-06,68,14
2011-11-13,71,16
2011-11-20,65,13
2011-11-27,62,11
2011-12-04,58,17
2011-12-11,67,13
2011-12-18,40,19
2011-12-25,51,25
