Category: All categories

Week,Fur: (Portugal)
2010-01-03,35
2010-01-10,29
2010-01-17,10
2010-01-24,31
2010-01-31,33
2010-02-07,18
2010-02-14,31
2010-02-21,18
2010-02-28,25
2010-03-07,18
2010-03-14,21
2010-03-21,59
2010-03-28,44
2010-04-04,17
2010-04-11,0
2010-04-18,27
2010-04-25,12
2010-05-02,0
2010-05-09,19
2010-05-16,0
2010-05-23,23
2010-05-30,44
2010-06-06,0
2010-06-13,18
2010-06-20,36
2010-06-27,18
2010-07-04,20
2010-07-11,30
2010-07-18,0
2010-07-25,43
2010-08-01,19
2010-08-08,22
2010-08-15,0
2010-08-22,0
2010-08-29,14
2010-09-05,0
2010-09-12,38
2010-09-19,46
2010-09-26,0
2010-10-03,17
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,39
2010-11-14,17
2010-11-21,25
2010-11-28,16
2010-12-05,100
2010-12-12,29
2010-12-19,21
2010-12-26,18
