Category: All categories

Week,Gasoline: (Portugal)
2013-01-06,70
2013-01-13,70
2013-01-20,69
2013-01-27,70
2013-02-03,62
2013-02-10,55
2013-02-17,61
2013-02-24,63
2013-03-03,70
2013-03-10,73
2013-03-17,65
2013-03-24,76
2013-03-31,56
2013-04-07,67
2013-04-14,85
2013-04-21,89
2013-04-28,82
2013-05-05,77
2013-05-12,77
2013-05-19,83
2013-05-26,74
2013-06-02,72
2013-06-09,70
2013-06-16,57
2013-06-23,57
2013-06-30,70
2013-07-07,69
2013-07-14,78
2013-07-21,77
2013-07-28,81
2013-08-04,70
2013-08-11,80
2013-08-18,100
2013-08-25,73
2013-09-01,73
2013-09-08,78
2013-09-15,90
2013-09-22,64
2013-09-29,60
2013-10-06,67
2013-10-13,74
2013-10-20,55
2013-10-27,73
2013-11-03,85
2013-11-10,75
2013-11-17,73
2013-11-24,75
2013-12-01,74
2013-12-08,84
2013-12-15,66
2013-12-22,83
2013-12-29,66
