Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2008-01-06,70,14
2008-01-13,69,9
2008-01-20,61,10
2008-01-27,63,8
2008-02-03,54,13
2008-02-10,61,7
2008-02-17,73,11
2008-02-24,73,7
2008-03-02,69,12
2008-03-09,63,14
2008-03-16,52,9
2008-03-23,52,7
2008-03-30,74,10
2008-04-06,66,13
2008-04-13,69,7
2008-04-20,72,12
2008-04-27,67,8
2008-05-04,91,8
2008-05-11,80,14
2008-05-18,88,8
2008-05-25,100,9
2008-06-01,94,4
2008-06-08,75,8
2008-06-15,69,10
2008-06-22,60,13
2008-06-29,53,13
2008-07-06,50,9
2008-07-13,56,7
2008-07-20,34,10
2008-07-27,30,13
2008-08-03,38,9
2008-08-10,28,12
2008-08-17,37,10
2008-08-24,34,8
2008-08-31,36,8
2008-09-07,41,11
2008-09-14,53,12
2008-09-21,59,15
2008-09-28,60,13
2008-10-05,66,12
2008-10-12,57,12
2008-10-19,55,20
2008-10-26,59,11
2008-11-02,54,15
2008-11-09,63,17
2008-11-16,73,11
2008-11-23,61,10
2008-11-30,57,13
2008-12-07,54,6
2008-12-14,61,13
2008-12-21,40,14
2008-12-28,47,13
