Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2007-01-07,70,13
2007-01-14,70,17
2007-01-21,68,8
2007-01-28,71,6
2007-02-04,58,8
2007-02-11,59,12
2007-02-18,43,11
2007-02-25,62,7
2007-03-04,73,5
2007-03-11,66,14
2007-03-18,72,5
2007-03-25,53,3
2007-04-01,54,9
2007-04-08,83,17
2007-04-15,78,13
2007-04-22,79,7
2007-04-29,68,9
2007-05-06,100,13
2007-05-13,98,6
2007-05-20,92,11
2007-05-27,94,14
2007-06-03,93,14
2007-06-10,79,7
2007-06-17,49,11
2007-06-24,50,8
2007-07-01,44,4
2007-07-08,48,10
2007-07-15,40,6
2007-07-22,43,2
2007-07-29,36,7
2007-08-05,38,4
2007-08-12,38,7
2007-08-19,48,8
2007-08-26,36,5
2007-09-02,53,4
2007-09-09,45,4
2007-09-16,49,11
2007-09-23,68,9
2007-09-30,57,8
2007-10-07,70,5
2007-10-14,74,8
2007-10-21,71,11
2007-10-28,73,8
2007-11-04,83,16
2007-11-11,83,15
2007-11-18,78,11
2007-11-25,81,11
2007-12-02,78,10
2007-12-09,79,11
2007-12-16,46,5
2007-12-23,38,12
2007-12-30,53,17
