Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2007-01-07,70,12
2007-01-14,70,12
2007-01-21,68,6
2007-01-28,71,11
2007-02-04,58,4
2007-02-11,59,11
2007-02-18,43,15
2007-02-25,62,18
2007-03-04,73,14
2007-03-11,66,12
2007-03-18,72,8
2007-03-25,53,7
2007-04-01,54,12
2007-04-08,83,13
2007-04-15,78,9
2007-04-22,79,11
2007-04-29,68,10
2007-05-06,100,6
2007-05-13,98,11
2007-05-20,92,9
2007-05-27,94,11
2007-06-03,93,12
2007-06-10,79,11
2007-06-17,49,13
2007-06-24,50,15
2007-07-01,44,11
2007-07-08,48,9
2007-07-15,40,9
2007-07-22,43,10
2007-07-29,36,12
2007-08-05,38,9
2007-08-12,38,7
2007-08-19,48,13
2007-08-26,36,9
2007-09-02,53,13
2007-09-09,45,6
2007-09-16,49,9
2007-09-23,68,11
2007-09-30,57,12
2007-10-07,70,13
2007-10-14,74,16
2007-10-21,71,16
2007-10-28,73,15
2007-11-04,83,15
2007-11-11,83,14
2007-11-18,78,19
2007-11-25,81,16
2007-12-02,78,15
2007-12-09,79,8
2007-12-16,46,16
2007-12-23,38,18
2007-12-30,53,9
