Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2018-01-07,66,79
2018-01-14,70,79
2018-01-21,69,81
2018-01-28,64,72
2018-02-04,59,74
2018-02-11,57,83
2018-02-18,66,78
2018-02-25,64,75
2018-03-04,66,76
2018-03-11,77,73
2018-03-18,68,71
2018-03-25,69,71
2018-04-01,67,63
2018-04-08,64,65
2018-04-15,73,63
2018-04-22,69,73
2018-04-29,72,59
2018-05-06,64,65
2018-05-13,65,57
2018-05-20,75,54
2018-05-27,63,70
2018-06-03,81,59
2018-06-10,67,63
2018-06-17,54,50
2018-06-24,48,47
2018-07-01,47,55
2018-07-08,45,52
2018-07-15,49,58
2018-07-22,48,55
2018-07-29,45,47
2018-08-05,41,51
2018-08-12,43,54
2018-08-19,45,55
2018-08-26,44,62
2018-09-02,48,55
2018-09-09,46,55
2018-09-16,48,61
2018-09-23,62,61
2018-09-30,56,66
2018-10-07,71,70
2018-10-14,60,85
2018-10-21,61,83
2018-10-28,55,98
2018-11-04,61,86
2018-11-11,62,82
2018-11-18,64,83
2018-11-25,66,78
2018-12-02,66,64
2018-12-09,54,75
2018-12-16,51,90
2018-12-23,40,100
2018-12-30,53,71
