Category: All categories

Week,T-shirt: (Portugal)
2011-01-02,43
2011-01-09,42
2011-01-16,46
2011-01-23,41
2011-01-30,64
2011-02-06,63
2011-02-13,38
2011-02-20,52
2011-02-27,60
2011-03-06,55
2011-03-13,49
2011-03-20,56
2011-03-27,59
2011-04-03,60
2011-04-10,68
2011-04-17,71
2011-04-24,70
2011-05-01,71
2011-05-08,64
2011-05-15,79
2011-05-22,67
2011-05-29,88
2011-06-05,94
2011-06-12,73
2011-06-19,86
2011-06-26,82
2011-07-03,77
2011-07-10,74
2011-07-17,82
2011-07-24,79
2011-07-31,56
2011-08-07,81
2011-08-14,82
2011-08-21,71
2011-08-28,77
2011-09-04,65
2011-09-11,82
2011-09-18,58
2011-09-25,63
2011-10-02,60
2011-10-09,68
2011-10-16,67
2011-10-23,64
2011-10-30,72
2011-11-06,70
2011-11-13,65
2011-11-20,65
2011-11-27,69
2011-12-04,67
2011-12-11,72
2011-12-18,73
2011-12-25,60
2012-01-01,70
2012-01-08,65
2012-01-15,61
2012-01-22,60
2012-01-29,58
2012-02-05,64
2012-02-12,65
2012-02-19,72
2012-02-26,70
2012-03-04,74
2012-03-11,77
2012-03-18,76
2012-03-25,70
2012-04-01,71
2012-04-08,75
2012-04-15,90
2012-04-22,73
2012-04-29,67
2012-05-06,78
2012-05-13,100
2012-05-20,85
2012-05-27,93
2012-06-03,96
2012-06-10,90
2012-06-17,94
2012-06-24,96
2012-07-01,99
2012-07-08,95
2012-07-15,91
2012-07-22,94
2012-07-29,89
2012-08-05,78
2012-08-12,87
2012-08-19,89
2012-08-26,80
2012-09-02,78
2012-09-09,80
2012-09-16,68
2012-09-23,64
2012-09-30,81
2012-10-07,63
2012-10-14,69
2012-10-21,66
2012-10-28,63
2012-11-04,63
2012-11-11,62
2012-11-18,62
2012-11-25,68
2012-12-02,77
2012-12-09,75
2012-12-16,77
2012-12-23,55
2012-12-30,54
