Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2014-01-05,21,74
2014-01-12,20,72
2014-01-19,20,74
2014-01-26,20,76
2014-02-02,18,73
2014-02-09,20,74
2014-02-16,18,74
2014-02-23,19,72
2014-03-02,17,82
2014-03-09,18,62
2014-03-16,20,62
2014-03-23,21,63
2014-03-30,19,70
2014-04-06,15,81
2014-04-13,15,82
2014-04-20,17,68
2014-04-27,17,63
2014-05-04,19,52
2014-05-11,21,57
2014-05-18,25,58
2014-05-25,25,60
2014-06-01,24,67
2014-06-08,22,74
2014-06-15,21,71
2014-06-22,19,74
2014-06-29,17,71
2014-07-06,17,76
2014-07-13,15,74
2014-07-20,13,72
2014-07-27,13,75
2014-08-03,12,76
2014-08-10,10,79
2014-08-17,13,77
2014-08-24,11,74
2014-08-31,15,73
2014-09-07,14,71
2014-09-14,16,61
2014-09-21,16,60
2014-09-28,18,60
2014-10-05,19,62
2014-10-12,17,61
2014-10-19,16,57
2014-10-26,18,52
2014-11-02,18,64
2014-11-09,19,60
2014-11-16,17,65
2014-11-23,16,63
2014-11-30,16,64
2014-12-07,18,70
2014-12-14,16,76
2014-12-21,14,100
2014-12-28,18,82
