Category: All categories

Week,Television: (Portugal)
2014-01-05,49
2014-01-12,72
2014-01-19,50
2014-01-26,47
2014-02-02,56
2014-02-09,100
2014-02-16,53
2014-02-23,66
2014-03-02,49
2014-03-09,57
2014-03-16,65
2014-03-23,62
2014-03-30,50
2014-04-06,56
2014-04-13,64
2014-04-20,65
2014-04-27,46
2014-05-04,45
2014-05-11,38
2014-05-18,35
2014-05-25,36
2014-06-01,33
2014-06-08,45
2014-06-15,47
2014-06-22,47
2014-06-29,40
2014-07-06,34
2014-07-13,47
2014-07-20,61
2014-07-27,46
2014-08-03,37
2014-08-10,47
2014-08-17,59
2014-08-24,50
2014-08-31,77
2014-09-07,38
2014-09-14,49
2014-09-21,62
2014-09-28,48
2014-10-05,48
2014-10-12,42
2014-10-19,49
2014-10-26,50
2014-11-02,44
2014-11-09,40
2014-11-16,40
2014-11-23,46
2014-11-30,44
2014-12-07,40
2014-12-14,50
2014-12-21,43
2014-12-28,47
