Category: All categories

Week,Gasoline: (Portugal)
2011-01-02,100
2011-01-09,71
2011-01-16,77
2011-01-23,70
2011-01-30,82
2011-02-06,56
2011-02-13,54
2011-02-20,57
2011-02-27,99
2011-03-06,91
2011-03-13,89
2011-03-20,58
2011-03-27,67
2011-04-03,59
2011-04-10,69
2011-04-17,73
2011-04-24,63
2011-05-01,64
2011-05-08,57
2011-05-15,61
2011-05-22,61
2011-05-29,50
2011-06-05,59
2011-06-12,83
2011-06-19,60
2011-06-26,64
2011-07-03,62
2011-07-10,69
2011-07-17,60
2011-07-24,62
2011-07-31,64
2011-08-07,74
2011-08-14,72
2011-08-21,58
2011-08-28,63
2011-09-04,63
2011-09-11,51
2011-09-18,59
2011-09-25,49
2011-10-02,67
2011-10-09,55
2011-10-16,62
2011-10-23,63
2011-10-30,50
2011-11-06,59
2011-11-13,51
2011-11-20,62
2011-11-27,58
2011-12-04,44
2011-12-11,39
2011-12-18,54
2011-12-25,53
