Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2017-01-01,28,100
2017-01-08,37,96
2017-01-15,42,97
2017-01-22,36,95
2017-01-29,35,94
2017-02-05,35,97
2017-02-12,35,93
2017-02-19,35,93
2017-02-26,35,89
2017-03-05,39,95
2017-03-12,40,97
2017-03-19,36,96
2017-03-26,40,92
2017-04-02,31,81
2017-04-09,30,73
2017-04-16,30,87
2017-04-23,35,83
2017-04-30,37,81
2017-05-07,39,88
2017-05-14,40,86
2017-05-21,39,86
2017-05-28,46,100
2017-06-04,40,95
2017-06-11,34,86
2017-06-18,27,80
2017-06-25,26,96
2017-07-02,30,84
2017-07-09,24,84
2017-07-16,28,84
2017-07-23,22,86
2017-07-30,24,80
2017-08-06,22,92
2017-08-13,21,80
2017-08-20,23,93
2017-08-27,24,94
2017-09-03,24,94
2017-09-10,24,91
2017-09-17,27,94
2017-09-24,29,97
2017-10-01,28,89
2017-10-08,31,96
2017-10-15,33,93
2017-10-22,30,96
2017-10-29,28,92
2017-11-05,31,89
2017-11-12,39,94
2017-11-19,31,75
2017-11-26,33,74
2017-12-03,29,76
2017-12-10,34,74
2017-12-17,26,66
2017-12-24,29,73
2017-12-31,35,92
