Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2010-01-03,14,82
2010-01-10,15,91
2010-01-17,15,85
2010-01-24,16,76
2010-01-31,16,80
2010-02-07,14,80
2010-02-14,12,98
2010-02-21,15,73
2010-02-28,14,75
2010-03-07,15,71
2010-03-14,14,71
2010-03-21,13,81
2010-03-28,9,100
2010-04-04,12,92
2010-04-11,16,68
2010-04-18,18,69
2010-04-25,16,68
2010-05-02,18,73
2010-05-09,17,70
2010-05-16,21,67
2010-05-23,21,69
2010-05-30,18,76
2010-06-06,15,79
2010-06-13,11,78
2010-06-20,9,78
2010-06-27,9,79
2010-07-04,10,74
2010-07-11,8,78
2010-07-18,8,81
2010-07-25,10,76
2010-08-01,8,81
2010-08-08,8,77
2010-08-15,8,86
2010-08-22,8,80
2010-08-29,7,83
2010-09-05,8,67
2010-09-12,11,61
2010-09-19,12,61
2010-09-26,12,64
2010-10-03,10,69
2010-10-10,13,64
2010-10-17,10,57
2010-10-24,12,62
2010-10-31,13,62
2010-11-07,13,58
2010-11-14,15,57
2010-11-21,13,61
2010-11-28,13,68
2010-12-05,12,73
2010-12-12,11,68
2010-12-19,7,98
2010-12-26,6,93
