Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2015-01-04,87,22
2015-01-11,100,24
2015-01-18,93,32
2015-01-25,85,23
2015-02-01,75,23
2015-02-08,76,32
2015-02-15,70,28
2015-02-22,92,31
2015-03-01,84,24
2015-03-08,83,27
2015-03-15,84,33
2015-03-22,69,31
2015-03-29,58,42
2015-04-05,73,21
2015-04-12,82,24
2015-04-19,78,24
2015-04-26,73,30
2015-05-03,77,21
2015-05-10,84,24
2015-05-17,78,25
2015-05-24,84,25
2015-05-31,71,26
2015-06-07,75,30
2015-06-14,65,24
2015-06-21,56,29
2015-06-28,57,24
2015-07-05,50,27
2015-07-12,52,24
2015-07-19,48,26
2015-07-26,56,23
2015-08-02,41,25
2015-08-09,43,25
2015-08-16,46,26
2015-08-23,44,21
2015-08-30,55,21
2015-09-06,55,25
2015-09-13,50,23
2015-09-20,58,23
2015-09-27,65,21
2015-10-04,62,23
2015-10-11,67,31
2015-10-18,64,27
2015-10-25,69,29
2015-11-01,69,23
2015-11-08,62,22
2015-11-15,62,25
2015-11-22,71,23
2015-11-29,71,20
2015-12-06,63,28
2015-12-13,66,33
2015-12-20,39,44
2015-12-27,54,44
