Category: All categories

Week,Health care: (Portugal)
2010-01-03,22
2010-01-10,57
2010-01-17,31
2010-01-24,81
2010-01-31,39
2010-02-07,52
2010-02-14,67
2010-02-21,63
2010-02-28,34
2010-03-07,35
2010-03-14,75
2010-03-21,55
2010-03-28,25
2010-04-04,0
2010-04-11,13
2010-04-18,31
2010-04-25,44
2010-05-02,38
2010-05-09,80
2010-05-16,20
2010-05-23,44
2010-05-30,39
2010-06-06,34
2010-06-13,37
2010-06-20,100
2010-06-27,72
2010-07-04,44
2010-07-11,60
2010-07-18,49
2010-07-25,81
2010-08-01,34
2010-08-08,37
2010-08-15,31
2010-08-22,46
2010-08-29,68
2010-09-05,38
2010-09-12,31
2010-09-19,72
2010-09-26,47
2010-10-03,32
2010-10-10,39
2010-10-17,36
2010-10-24,61
2010-10-31,20
2010-11-07,0
2010-11-14,62
2010-11-21,68
2010-11-28,19
2010-12-05,60
2010-12-12,73
2010-12-19,59
2010-12-26,38
