Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2009-01-04,95,14
2009-01-11,80,15
2009-01-18,72,16
2009-01-25,77,16
2009-02-01,69,20
2009-02-08,74,22
2009-02-15,88,19
2009-02-22,71,14
2009-03-01,100,17
2009-03-08,93,21
2009-03-15,80,15
2009-03-22,93,20
2009-03-29,60,20
2009-04-05,58,20
2009-04-12,81,15
2009-04-19,79,18
2009-04-26,80,22
2009-05-03,87,15
2009-05-10,78,21
2009-05-17,80,20
2009-05-24,94,23
2009-05-31,78,16
2009-06-07,56,19
2009-06-14,72,17
2009-06-21,53,17
2009-06-28,54,17
2009-07-05,59,20
2009-07-12,52,21
2009-07-19,46,20
2009-07-26,46,26
2009-08-02,39,23
2009-08-09,39,25
2009-08-16,29,27
2009-08-23,36,29
2009-08-30,40,20
2009-09-06,31,28
2009-09-13,51,21
2009-09-20,48,22
2009-09-27,53,20
2009-10-04,53,23
2009-10-11,56,20
2009-10-18,65,14
2009-10-25,57,23
2009-11-01,67,18
2009-11-08,64,21
2009-11-15,70,20
2009-11-22,60,17
2009-11-29,54,22
2009-12-06,61,18
2009-12-13,63,21
2009-12-20,34,23
2009-12-27,36,32
