Category: All categories

Week,Novel: (Portugal)
2009-01-04,46
2009-01-11,59
2009-01-18,42
2009-01-25,75
2009-02-01,48
2009-02-08,0
2009-02-15,45
2009-02-22,29
2009-03-01,80
2009-03-08,0
2009-03-15,24
2009-03-22,100
2009-03-29,21
2009-04-05,0
2009-04-12,44
2009-04-19,26
2009-04-26,0
2009-05-03,93
2009-05-10,96
2009-05-17,36
2009-05-24,36
2009-05-31,29
2009-06-07,31
2009-06-14,23
2009-06-21,33
2009-06-28,72
2009-07-05,33
2009-07-12,0
2009-07-19,56
2009-07-26,47
2009-08-02,18
2009-08-09,0
2009-08-16,50
2009-08-23,48
2009-08-30,47
2009-09-06,40
2009-09-13,24
2009-09-20,46
2009-09-27,14
2009-10-04,62
2009-10-11,14
2009-10-18,73
2009-10-25,21
2009-11-01,30
2009-11-08,34
2009-11-15,28
2009-11-22,65
2009-11-29,0
2009-12-06,66
2009-12-13,0
2009-12-20,34
2009-12-27,54
2010-01-03,18
2010-01-10,35
2010-01-17,36
2010-01-24,41
2010-01-31,32
2010-02-07,64
2010-02-14,23
2010-02-21,40
2010-02-28,40
2010-03-07,26
2010-03-14,41
2010-03-21,41
2010-03-28,80
2010-04-04,35
2010-04-11,33
2010-04-18,56
2010-04-25,15
2010-05-02,29
2010-05-09,32
2010-05-16,37
2010-05-23,18
2010-05-30,51
2010-06-06,42
2010-06-13,0
2010-06-20,49
2010-06-27,0
2010-07-04,37
2010-07-11,19
2010-07-18,47
2010-07-25,44
2010-08-01,25
2010-08-08,0
2010-08-15,62
2010-08-22,37
2010-08-29,67
2010-09-05,23
2010-09-12,59
2010-09-19,42
2010-09-26,0
2010-10-03,41
2010-10-10,0
2010-10-17,52
2010-10-24,27
2010-10-31,29
2010-11-07,25
2010-11-14,56
2010-11-21,19
2010-11-28,0
2010-12-05,52
2010-12-12,58
2010-12-19,23
2010-12-26,52
