Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2017-01-01,6,58
2017-01-08,8,52
2017-01-15,9,55
2017-01-22,8,56
2017-01-29,7,58
2017-02-05,8,59
2017-02-12,7,67
2017-02-19,7,60
2017-02-26,7,65
2017-03-05,8,61
2017-03-12,8,56
2017-03-19,8,59
2017-03-26,8,58
2017-04-02,6,63
2017-04-09,6,83
2017-04-16,6,66
2017-04-23,8,72
2017-04-30,8,76
2017-05-07,8,64
2017-05-14,8,62
2017-05-21,8,66
2017-05-28,9,65
2017-06-04,8,67
2017-06-11,7,74
2017-06-18,6,62
2017-06-25,6,70
2017-07-02,6,76
2017-07-09,5,78
2017-07-16,6,77
2017-07-23,4,78
2017-07-30,5,96
2017-08-06,4,95
2017-08-13,4,100
2017-08-20,5,97
2017-08-27,5,85
2017-09-03,5,82
2017-09-10,5,80
2017-09-17,6,71
2017-09-24,6,70
2017-10-01,6,73
2017-10-08,6,64
2017-10-15,7,61
2017-10-22,6,76
2017-10-29,6,74
2017-11-05,6,67
2017-11-12,8,68
2017-11-19,6,63
2017-11-26,7,76
2017-12-03,7,79
2017-12-10,7,72
2017-12-17,5,73
2017-12-24,6,90
2017-12-31,7,71
