Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2011-01-02,60,66
2011-01-09,76,55
2011-01-16,74,54
2011-01-23,70,56
2011-01-30,68,61
2011-02-06,73,65
2011-02-13,65,58
2011-02-20,76,57
2011-02-27,70,62
2011-03-06,61,62
2011-03-13,80,61
2011-03-20,73,75
2011-03-27,70,70
2011-04-03,64,81
2011-04-10,47,79
2011-04-17,54,83
2011-04-24,67,71
2011-05-01,75,77
2011-05-08,73,75
2011-05-15,84,75
2011-05-22,93,67
2011-05-29,89,69
2011-06-05,82,69
2011-06-12,90,67
2011-06-19,73,58
2011-06-26,91,55
2011-07-03,76,74
2011-07-10,74,66
2011-07-17,84,67
2011-07-24,71,62
2011-07-31,51,70
2011-08-07,42,65
2011-08-14,39,68
2011-08-21,47,83
2011-08-28,40,83
2011-09-04,47,87
2011-09-11,45,85
2011-09-18,53,77
2011-09-25,56,79
2011-10-02,59,79
2011-10-09,55,76
2011-10-16,66,82
2011-10-23,59,100
2011-10-30,53,86
2011-11-06,62,82
2011-11-13,65,76
2011-11-20,60,76
2011-11-27,57,88
2011-12-04,53,79
2011-12-11,61,76
2011-12-18,37,67
2011-12-25,47,79
