Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2016-01-03,23,55
2016-01-10,20,52
2016-01-17,21,52
2016-01-24,20,51
2016-01-31,19,53
2016-02-07,16,65
2016-02-14,20,52
2016-02-21,21,52
2016-02-28,22,51
2016-03-06,21,51
2016-03-13,19,55
2016-03-20,16,65
2016-03-27,17,63
2016-04-03,20,49
2016-04-10,22,46
2016-04-17,21,48
2016-04-24,21,54
2016-05-01,22,47
2016-05-08,24,47
2016-05-15,24,50
2016-05-22,23,53
2016-05-29,24,47
2016-06-05,19,52
2016-06-12,20,60
2016-06-19,14,54
2016-06-26,15,60
2016-07-03,14,56
2016-07-10,14,59
2016-07-17,15,68
2016-07-24,15,55
2016-07-31,12,57
2016-08-07,11,58
2016-08-14,11,58
2016-08-21,13,58
2016-08-28,16,58
2016-09-04,14,53
2016-09-11,15,43
2016-09-18,17,45
2016-09-25,18,42
2016-10-02,18,44
2016-10-09,18,43
2016-10-16,18,45
2016-10-23,19,43
2016-10-30,17,54
2016-11-06,21,49
2016-11-13,20,51
2016-11-20,19,53
2016-11-27,19,61
2016-12-04,17,79
2016-12-11,15,77
2016-12-18,12,100
2016-12-25,14,96
