Category: All categories

Week,Energy: (Portugal),Tobacco: (Portugal)
2018-01-07,82,0
2018-01-14,88,1
2018-01-21,85,2
2018-01-28,79,1
2018-02-04,74,3
2018-02-11,71,2
2018-02-18,82,0
2018-02-25,80,0
2018-03-04,82,0
2018-03-11,96,0
2018-03-18,84,4
2018-03-25,86,2
2018-04-01,83,0
2018-04-08,79,2
2018-04-15,89,2
2018-04-22,85,2
2018-04-29,91,1
2018-05-06,79,0
2018-05-13,81,0
2018-05-20,93,1
2018-05-27,78,1
2018-06-03,100,2
2018-06-10,83,0
2018-06-17,67,1
2018-06-24,59,3
2018-07-01,58,2
2018-07-08,55,2
2018-07-15,60,0
2018-07-22,59,3
2018-07-29,56,4
2018-08-05,51,7
2018-08-12,53,7
2018-08-19,56,5
2018-08-26,54,3
2018-09-02,59,1
2018-09-09,57,2
2018-09-16,59,0
2018-09-23,76,2
2018-09-30,69,2
2018-10-07,89,0
2018-10-14,74,1
2018-10-21,76,1
2018-10-28,68,2
2018-11-04,75,2
2018-11-11,77,1
2018-11-18,79,0
2018-11-25,81,1
2018-12-02,82,0
2018-12-09,67,1
2018-12-16,63,0
2018-12-23,50,1
2018-12-30,65,0
