Category: All categories

Week,Restaurant: (Portugal)
2011-01-02,62
2011-01-09,62
2011-01-16,66
2011-01-23,69
2011-01-30,69
2011-02-06,82
2011-02-13,93
2011-02-20,70
2011-02-27,69
2011-03-06,69
2011-03-13,66
2011-03-20,63
2011-03-27,69
2011-04-03,66
2011-04-10,61
2011-04-17,72
2011-04-24,68
2011-05-01,66
2011-05-08,62
2011-05-15,64
2011-05-22,65
2011-05-29,69
2011-06-05,66
2011-06-12,64
2011-06-19,65
2011-06-26,61
2011-07-03,68
2011-07-10,77
2011-07-17,72
2011-07-24,77
2011-07-31,79
2011-08-07,80
2011-08-14,85
2011-08-21,76
2011-08-28,76
2011-09-04,82
2011-09-11,69
2011-09-18,80
2011-09-25,81
2011-10-02,70
2011-10-09,66
2011-10-16,63
2011-10-23,66
2011-10-30,67
2011-11-06,64
2011-11-13,64
2011-11-20,72
2011-11-27,79
2011-12-04,82
2011-12-11,93
2011-12-18,74
2011-12-25,100
2012-01-01,64
2012-01-08,67
2012-01-15,65
2012-01-22,72
2012-01-29,74
2012-02-05,76
2012-02-12,97
2012-02-19,76
2012-02-26,64
2012-03-04,71
2012-03-11,64
2012-03-18,62
2012-03-25,64
2012-04-01,69
2012-04-08,67
2012-04-15,69
2012-04-22,73
2012-04-29,73
2012-05-06,72
2012-05-13,64
2012-05-20,65
2012-05-27,71
2012-06-03,65
2012-06-10,62
2012-06-17,61
2012-06-24,68
2012-07-01,68
2012-07-08,72
2012-07-15,76
2012-07-22,82
2012-07-29,83
2012-08-05,86
2012-08-12,95
2012-08-19,96
2012-08-26,84
2012-09-02,76
2012-09-09,71
2012-09-16,75
2012-09-23,76
2012-09-30,71
2012-10-07,67
2012-10-14,66
2012-10-21,64
2012-10-28,66
2012-11-04,60
2012-11-11,64
2012-11-18,73
2012-11-25,75
2012-12-02,79
2012-12-09,86
2012-12-16,76
2012-12-23,87
2012-12-30,86
