Category: All categories

Week,Real Estate: (Portugal)
2013-01-06,81
2013-01-13,74
2013-01-20,78
2013-01-27,78
2013-02-03,83
2013-02-10,79
2013-02-17,76
2013-02-24,73
2013-03-03,78
2013-03-10,78
2013-03-17,83
2013-03-24,77
2013-03-31,87
2013-04-07,87
2013-04-14,85
2013-04-21,76
2013-04-28,73
2013-05-05,72
2013-05-12,78
2013-05-19,76
2013-05-26,82
2013-06-02,68
2013-06-09,68
2013-06-16,69
2013-06-23,67
2013-06-30,64
2013-07-07,70
2013-07-14,77
2013-07-21,71
2013-07-28,77
2013-08-04,81
2013-08-11,79
2013-08-18,84
2013-08-25,87
2013-09-01,79
2013-09-08,85
2013-09-15,91
2013-09-22,84
2013-09-29,80
2013-10-06,91
2013-10-13,98
2013-10-20,89
2013-10-27,81
2013-11-03,83
2013-11-10,90
2013-11-17,76
2013-11-24,75
2013-12-01,70
2013-12-08,70
2013-12-15,55
2013-12-22,63
2013-12-29,79
2014-01-05,83
2014-01-12,83
2014-01-19,84
2014-01-26,81
2014-02-02,84
2014-02-09,78
2014-02-16,89
2014-02-23,96
2014-03-02,83
2014-03-09,80
2014-03-16,81
2014-03-23,84
2014-03-30,81
2014-04-06,82
2014-04-13,82
2014-04-20,81
2014-04-27,88
2014-05-04,80
2014-05-11,81
2014-05-18,82
2014-05-25,87
2014-06-01,80
2014-06-08,72
2014-06-15,70
2014-06-22,77
2014-06-29,77
2014-07-06,81
2014-07-13,80
2014-07-20,87
2014-07-27,83
2014-08-03,94
2014-08-10,90
2014-08-17,89
2014-08-24,94
2014-08-31,82
2014-09-07,86
2014-09-14,93
2014-09-21,87
2014-09-28,92
2014-10-05,100
2014-10-12,88
2014-10-19,86
2014-10-26,87
2014-11-02,84
2014-11-09,90
2014-11-16,92
2014-11-23,77
2014-11-30,76
2014-12-07,69
2014-12-14,67
2014-12-21,61
2014-12-28,81
