Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2009-01-04,46,87
2009-01-11,39,83
2009-01-18,35,84
2009-01-25,38,81
2009-02-01,33,77
2009-02-08,36,73
2009-02-15,43,75
2009-02-22,35,78
2009-03-01,48,71
2009-03-08,45,76
2009-03-15,39,74
2009-03-22,45,74
2009-03-29,29,69
2009-04-05,28,74
2009-04-12,39,72
2009-04-19,38,72
2009-04-26,39,75
2009-05-03,42,72
2009-05-10,38,70
2009-05-17,39,74
2009-05-24,46,70
2009-05-31,38,63
2009-06-07,27,75
2009-06-14,35,71
2009-06-21,26,78
2009-06-28,26,76
2009-07-05,28,81
2009-07-12,25,83
2009-07-19,22,82
2009-07-26,22,76
2009-08-02,19,91
2009-08-09,19,89
2009-08-16,14,92
2009-08-23,17,90
2009-08-30,20,84
2009-09-06,15,75
2009-09-13,25,71
2009-09-20,23,78
2009-09-27,26,77
2009-10-04,26,86
2009-10-11,27,74
2009-10-18,31,77
2009-10-25,28,76
2009-11-01,33,73
2009-11-08,31,80
2009-11-15,34,78
2009-11-22,29,85
2009-11-29,26,89
2009-12-06,29,89
2009-12-13,31,89
2009-12-20,17,100
2009-12-27,17,93
