Category: All categories

Week,Health care: (Portugal)
2010-01-03,36
2010-01-10,100
2010-01-17,28
2010-01-24,69
2010-01-31,41
2010-02-07,48
2010-02-14,70
2010-02-21,16
2010-02-28,27
2010-03-07,27
2010-03-14,45
2010-03-21,64
2010-03-28,24
2010-04-04,30
2010-04-11,17
2010-04-18,14
2010-04-25,24
2010-05-02,22
2010-05-09,72
2010-05-16,20
2010-05-23,18
2010-05-30,42
2010-06-06,55
2010-06-13,24
2010-06-20,70
2010-06-27,30
2010-07-04,44
2010-07-11,57
2010-07-18,0
2010-07-25,65
2010-08-01,26
2010-08-08,27
2010-08-15,34
2010-08-22,32
2010-08-29,26
2010-09-05,29
2010-09-12,44
2010-09-19,60
2010-09-26,47
2010-10-03,0
2010-10-10,75
2010-10-17,61
2010-10-24,47
2010-10-31,0
2010-11-07,28
2010-11-14,40
2010-11-21,36
2010-11-28,43
2010-12-05,71
2010-12-12,46
2010-12-19,0
2010-12-26,67
2011-01-02,19
2011-01-09,69
2011-01-16,64
2011-01-23,29
2011-01-30,46
2011-02-06,25
2011-02-13,44
2011-02-20,66
2011-02-27,71
2011-03-06,24
2011-03-13,16
2011-03-20,26
2011-03-27,36
2011-04-03,33
2011-04-10,41
2011-04-17,29
2011-04-24,12
2011-05-01,41
2011-05-08,33
2011-05-15,20
2011-05-22,47
2011-05-29,56
2011-06-05,34
2011-06-12,34
2011-06-19,17
2011-06-26,33
2011-07-03,21
2011-07-10,50
2011-07-17,25
2011-07-24,54
2011-07-31,0
2011-08-07,25
2011-08-14,54
2011-08-21,36
2011-08-28,25
2011-09-04,48
2011-09-11,33
2011-09-18,52
2011-09-25,60
2011-10-02,48
2011-10-09,30
2011-10-16,42
2011-10-23,46
2011-10-30,18
2011-11-06,61
2011-11-13,26
2011-11-20,43
2011-11-27,40
2011-12-04,37
2011-12-11,53
2011-12-18,29
2011-12-25,18
