Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2018-01-07,82,57
2018-01-14,88,54
2018-01-21,85,52
2018-01-28,79,61
2018-02-04,74,55
2018-02-11,71,50
2018-02-18,82,49
2018-02-25,80,54
2018-03-04,82,59
2018-03-11,96,53
2018-03-18,84,60
2018-03-25,86,46
2018-04-01,83,47
2018-04-08,79,49
2018-04-15,89,45
2018-04-22,85,42
2018-04-29,91,46
2018-05-06,79,49
2018-05-13,81,51
2018-05-20,93,45
2018-05-27,78,49
2018-06-03,100,47
2018-06-10,83,44
2018-06-17,67,37
2018-06-24,59,40
2018-07-01,58,41
2018-07-08,55,45
2018-07-15,60,39
2018-07-22,59,45
2018-07-29,56,55
2018-08-05,51,53
2018-08-12,53,43
2018-08-19,56,44
2018-08-26,54,44
2018-09-02,59,40
2018-09-09,57,47
2018-09-16,59,52
2018-09-23,76,52
2018-09-30,69,50
2018-10-07,89,57
2018-10-14,74,66
2018-10-21,76,63
2018-10-28,68,62
2018-11-04,75,57
2018-11-11,77,59
2018-11-18,79,60
2018-11-25,81,60
2018-12-02,82,53
2018-12-09,67,46
2018-12-16,63,63
2018-12-23,50,56
2018-12-30,65,65
