Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2014-01-05,84,60
2014-01-12,80,54
2014-01-19,78,59
2014-01-26,82,60
2014-02-02,72,61
2014-02-09,79,55
2014-02-16,72,59
2014-02-23,74,54
2014-03-02,69,53
2014-03-09,72,54
2014-03-16,79,59
2014-03-23,85,57
2014-03-30,76,60
2014-04-06,60,55
2014-04-13,59,52
2014-04-20,66,43
2014-04-27,67,48
2014-05-04,78,80
2014-05-11,85,69
2014-05-18,100,59
2014-05-25,100,62
2014-06-01,95,58
2014-06-08,89,47
2014-06-15,83,50
2014-06-22,79,58
2014-06-29,68,55
2014-07-06,69,62
2014-07-13,60,57
2014-07-20,52,55
2014-07-27,49,54
2014-08-03,47,44
2014-08-10,43,40
2014-08-17,51,40
2014-08-24,46,42
2014-08-31,61,62
2014-09-07,55,56
2014-09-14,67,65
2014-09-21,66,67
2014-09-28,68,57
2014-10-05,78,66
2014-10-12,71,60
2014-10-19,65,61
2014-10-26,72,55
2014-11-02,71,59
2014-11-09,78,57
2014-11-16,67,77
2014-11-23,64,89
2014-11-30,63,59
2014-12-07,70,54
2014-12-14,63,57
2014-12-21,58,42
2014-12-28,73,45
