Category: All categories

Week,Tobacco: (Portugal)
2013-01-06,26
2013-01-13,44
2013-01-20,50
2013-01-27,0
2013-02-03,61
2013-02-10,42
2013-02-17,51
2013-02-24,53
2013-03-03,20
2013-03-10,55
2013-03-17,29
2013-03-24,52
2013-03-31,17
2013-04-07,59
2013-04-14,36
2013-04-21,70
2013-04-28,33
2013-05-05,39
2013-05-12,58
2013-05-19,28
2013-05-26,61
2013-06-02,41
2013-06-09,45
2013-06-16,71
2013-06-23,42
2013-06-30,47
2013-07-07,100
2013-07-14,43
2013-07-21,62
2013-07-28,37
2013-08-04,48
2013-08-11,16
2013-08-18,14
2013-08-25,55
2013-09-01,61
2013-09-08,39
2013-09-15,69
2013-09-22,30
2013-09-29,51
2013-10-06,68
2013-10-13,32
2013-10-20,63
2013-10-27,56
2013-11-03,51
2013-11-10,70
2013-11-17,69
2013-11-24,80
2013-12-01,53
2013-12-08,33
2013-12-15,77
2013-12-22,37
2013-12-29,33
2014-01-05,66
2014-01-12,28
2014-01-19,70
2014-01-26,57
2014-02-02,58
2014-02-09,72
2014-02-16,63
2014-02-23,43
2014-03-02,44
2014-03-09,33
2014-03-16,35
2014-03-23,77
2014-03-30,41
2014-04-06,38
2014-04-13,61
2014-04-20,29
2014-04-27,32
2014-05-04,87
2014-05-11,41
2014-05-18,60
2014-05-25,25
2014-06-01,26
2014-06-08,44
2014-06-15,0
2014-06-22,89
2014-06-29,46
2014-07-06,32
2014-07-13,36
2014-07-20,18
2014-07-27,57
2014-08-03,34
2014-08-10,33
2014-08-17,83
2014-08-24,52
2014-08-31,95
2014-09-07,42
2014-09-14,28
2014-09-21,43
2014-09-28,62
2014-10-05,19
2014-10-12,39
2014-10-19,57
2014-10-26,34
2014-11-02,50
2014-11-09,60
2014-11-16,91
2014-11-23,34
2014-11-30,77
2014-12-07,35
2014-12-14,69
2014-12-21,42
2014-12-28,36
