Category: All categories

Week,Travel agency: (Portugal)
2016-01-03,80
2016-01-10,79
2016-01-17,88
2016-01-24,82
2016-01-31,62
2016-02-07,88
2016-02-14,59
2016-02-21,83
2016-02-28,77
2016-03-06,71
2016-03-13,74
2016-03-20,67
2016-03-27,83
2016-04-03,66
2016-04-10,76
2016-04-17,85
2016-04-24,74
2016-05-01,82
2016-05-08,66
2016-05-15,81
2016-05-22,68
2016-05-29,88
2016-06-05,78
2016-06-12,85
2016-06-19,91
2016-06-26,58
2016-07-03,91
2016-07-10,70
2016-07-17,83
2016-07-24,100
2016-07-31,59
2016-08-07,81
2016-08-14,75
2016-08-21,82
2016-08-28,56
2016-09-04,67
2016-09-11,50
2016-09-18,46
2016-09-25,64
2016-10-02,53
2016-10-09,76
2016-10-16,61
2016-10-23,50
2016-10-30,21
2016-11-06,41
2016-11-13,46
2016-11-20,38
2016-11-27,43
2016-12-04,45
2016-12-11,57
2016-12-18,33
2016-12-25,39
2017-01-01,70
2017-01-08,56
2017-01-15,100
2017-01-22,99
2017-01-29,89
2017-02-05,66
2017-02-12,67
2017-02-19,94
2017-02-26,81
2017-03-05,82
2017-03-12,90
2017-03-19,87
2017-03-26,82
2017-04-02,85
2017-04-09,71
2017-04-16,60
2017-04-23,76
2017-04-30,77
2017-05-07,89
2017-05-14,94
2017-05-21,78
2017-05-28,74
2017-06-04,83
2017-06-11,67
2017-06-18,61
2017-06-25,82
2017-07-02,72
2017-07-09,96
2017-07-16,89
2017-07-23,67
2017-07-30,80
2017-08-06,85
2017-08-13,50
2017-08-20,72
2017-08-27,66
2017-09-03,66
2017-09-10,67
2017-09-17,72
2017-09-24,68
2017-10-01,54
2017-10-08,62
2017-10-15,69
2017-10-22,63
2017-10-29,55
2017-11-05,46
2017-11-12,58
2017-11-19,68
2017-11-26,38
2017-12-03,53
2017-12-10,34
2017-12-17,32
2017-12-24,57
2017-12-31,58
