Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2007-01-07,31,44
2007-01-14,31,52
2007-01-21,30,50
2007-01-28,31,54
2007-02-04,26,61
2007-02-11,25,100
2007-02-18,23,51
2007-02-25,26,58
2007-03-04,32,45
2007-03-11,25,54
2007-03-18,32,50
2007-03-25,23,51
2007-04-01,22,54
2007-04-08,35,53
2007-04-15,33,50
2007-04-22,34,47
2007-04-29,27,54
2007-05-06,42,46
2007-05-13,41,51
2007-05-20,40,50
2007-05-27,41,55
2007-06-03,38,47
2007-06-10,33,45
2007-06-17,21,54
2007-06-24,22,50
2007-07-01,19,52
2007-07-08,20,48
2007-07-15,16,53
2007-07-22,19,52
2007-07-29,16,64
2007-08-05,15,66
2007-08-12,16,59
2007-08-19,21,62
2007-08-26,18,67
2007-09-02,21,54
2007-09-09,17,55
2007-09-16,22,50
2007-09-23,28,53
2007-09-30,26,52
2007-10-07,30,48
2007-10-14,34,51
2007-10-21,30,50
2007-10-28,30,56
2007-11-04,35,50
2007-11-11,35,54
2007-11-18,33,63
2007-11-25,35,62
2007-12-02,35,61
2007-12-09,33,70
2007-12-16,20,70
2007-12-23,19,69
2007-12-30,20,72
