Category: All categories

Week,Used car: (Portugal)
2010-01-03,93
2010-01-10,88
2010-01-17,93
2010-01-24,98
2010-01-31,100
2010-02-07,79
2010-02-14,93
2010-02-21,90
2010-02-28,76
2010-03-07,77
2010-03-14,84
2010-03-21,79
2010-03-28,87
2010-04-04,85
2010-04-11,83
2010-04-18,77
2010-04-25,81
2010-05-02,76
2010-05-09,79
2010-05-16,79
2010-05-23,87
2010-05-30,71
2010-06-06,72
2010-06-13,74
2010-06-20,75
2010-06-27,79
2010-07-04,65
2010-07-11,66
2010-07-18,78
2010-07-25,72
2010-08-01,73
2010-08-08,81
2010-08-15,80
2010-08-22,89
2010-08-29,81
2010-09-05,76
2010-09-12,89
2010-09-19,80
2010-09-26,77
2010-10-03,83
2010-10-10,71
2010-10-17,70
2010-10-24,60
2010-10-31,64
2010-11-07,63
2010-11-14,64
2010-11-21,69
2010-11-28,60
2010-12-05,69
2010-12-12,52
2010-12-19,51
2010-12-26,77
