Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2012-01-01,74,67
2012-01-08,85,65
2012-01-15,84,67
2012-01-22,81,62
2012-01-29,70,66
2012-02-05,81,61
2012-02-12,73,63
2012-02-19,64,62
2012-02-26,77,61
2012-03-04,77,57
2012-03-11,84,57
2012-03-18,81,64
2012-03-25,64,55
2012-04-01,53,57
2012-04-08,68,65
2012-04-15,89,62
2012-04-22,75,61
2012-04-29,81,60
2012-05-06,90,61
2012-05-13,97,55
2012-05-20,95,58
2012-05-27,100,52
2012-06-03,83,57
2012-06-10,77,53
2012-06-17,67,51
2012-06-24,72,56
2012-07-01,67,63
2012-07-08,60,57
2012-07-15,51,56
2012-07-22,46,54
2012-07-29,42,56
2012-08-05,42,53
2012-08-12,41,60
2012-08-19,45,64
2012-08-26,46,64
2012-09-02,46,53
2012-09-09,58,50
2012-09-16,66,50
2012-09-23,56,55
2012-09-30,52,55
2012-10-07,58,55
2012-10-14,61,51
2012-10-21,62,55
2012-10-28,63,56
2012-11-04,67,53
2012-11-11,63,46
2012-11-18,66,45
2012-11-25,71,45
2012-12-02,69,40
2012-12-09,67,42
2012-12-16,56,39
2012-12-23,64,47
2012-12-30,72,52
