Category: All categories

Week,Jam: (Portugal)
2010-01-03,18
2010-01-10,9
2010-01-17,18
2010-01-24,25
2010-01-31,18
2010-02-07,21
2010-02-14,23
2010-02-21,21
2010-02-28,20
2010-03-07,21
2010-03-14,22
2010-03-21,19
2010-03-28,30
2010-04-04,16
2010-04-11,19
2010-04-18,14
2010-04-25,21
2010-05-02,16
2010-05-09,31
2010-05-16,17
2010-05-23,21
2010-05-30,13
2010-06-06,27
2010-06-13,15
2010-06-20,16
2010-06-27,26
2010-07-04,21
2010-07-11,19
2010-07-18,16
2010-07-25,20
2010-08-01,15
2010-08-08,23
2010-08-15,37
2010-08-22,33
2010-08-29,27
2010-09-05,25
2010-09-12,14
2010-09-19,28
2010-09-26,17
2010-10-03,27
2010-10-10,27
2010-10-17,27
2010-10-24,29
2010-10-31,20
2010-11-07,26
2010-11-14,25
2010-11-21,23
2010-11-28,26
2010-12-05,32
2010-12-12,36
2010-12-19,88
2010-12-26,41
2011-01-02,16
2011-01-09,18
2011-01-16,21
2011-01-23,20
2011-01-30,24
2011-02-06,19
2011-02-13,29
2011-02-20,18
2011-02-27,17
2011-03-06,19
2011-03-13,21
2011-03-20,20
2011-03-27,23
2011-04-03,18
2011-04-10,22
2011-04-17,36
2011-04-24,19
2011-05-01,18
2011-05-08,17
2011-05-15,20
2011-05-22,22
2011-05-29,24
2011-06-05,30
2011-06-12,24
2011-06-19,24
2011-06-26,26
2011-07-03,26
2011-07-10,25
2011-07-17,29
2011-07-24,29
2011-07-31,36
2011-08-07,35
2011-08-14,36
2011-08-21,43
2011-08-28,37
2011-09-04,34
2011-09-11,34
2011-09-18,38
2011-09-25,35
2011-10-02,31
2011-10-09,30
2011-10-16,38
2011-10-23,40
2011-10-30,34
2011-11-06,37
2011-11-13,33
2011-11-20,38
2011-11-27,32
2011-12-04,48
2011-12-11,45
2011-12-18,100
2011-12-25,48
