Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2015-01-04,47,75
2015-01-11,54,73
2015-01-18,50,80
2015-01-25,46,87
2015-02-01,41,86
2015-02-08,41,82
2015-02-15,38,81
2015-02-22,50,83
2015-03-01,45,91
2015-03-08,45,75
2015-03-15,46,74
2015-03-22,38,71
2015-03-29,31,69
2015-04-05,39,89
2015-04-12,44,89
2015-04-19,42,82
2015-04-26,40,81
2015-05-03,42,76
2015-05-10,45,78
2015-05-17,42,74
2015-05-24,46,77
2015-05-31,38,73
2015-06-07,40,76
2015-06-14,35,77
2015-06-21,30,72
2015-06-28,31,72
2015-07-05,27,71
2015-07-12,28,76
2015-07-19,26,75
2015-07-26,30,80
2015-08-02,22,74
2015-08-09,23,80
2015-08-16,25,100
2015-08-23,24,96
2015-08-30,30,95
2015-09-06,30,95
2015-09-13,27,87
2015-09-20,31,97
2015-09-27,35,83
2015-10-04,34,86
2015-10-11,36,89
2015-10-18,35,84
2015-10-25,37,80
2015-11-01,37,87
2015-11-08,34,80
2015-11-15,34,75
2015-11-22,39,74
2015-11-29,38,66
2015-12-06,34,68
2015-12-13,36,69
2015-12-20,21,53
2015-12-27,29,79
