Category: All categories

Week,Television: (Portugal)
2015-01-04,72
2015-01-11,61
2015-01-18,60
2015-01-25,68
2015-02-01,57
2015-02-08,72
2015-02-15,76
2015-02-22,71
2015-03-01,75
2015-03-08,72
2015-03-15,62
2015-03-22,56
2015-03-29,59
2015-04-05,63
2015-04-12,62
2015-04-19,52
2015-04-26,100
2015-05-03,61
2015-05-10,52
2015-05-17,72
2015-05-24,44
2015-05-31,44
2015-06-07,46
2015-06-14,42
2015-06-21,40
2015-06-28,42
2015-07-05,45
2015-07-12,48
2015-07-19,51
2015-07-26,52
2015-08-02,57
2015-08-09,60
2015-08-16,80
2015-08-23,74
2015-08-30,50
2015-09-06,61
2015-09-13,61
2015-09-20,76
2015-09-27,59
2015-10-04,57
2015-10-11,53
2015-10-18,60
2015-10-25,84
2015-11-01,49
2015-11-08,55
2015-11-15,53
2015-11-22,51
2015-11-29,64
2015-12-06,55
2015-12-13,53
2015-12-20,60
2015-12-27,68
2016-01-03,57
2016-01-10,55
2016-01-17,57
2016-01-24,51
2016-01-31,55
2016-02-07,92
2016-02-14,53
2016-02-21,51
2016-02-28,67
2016-03-06,51
2016-03-13,55
2016-03-20,54
2016-03-27,64
2016-04-03,54
2016-04-10,52
2016-04-17,62
2016-04-24,64
2016-05-01,47
2016-05-08,55
2016-05-15,65
2016-05-22,45
2016-05-29,41
2016-06-05,45
2016-06-12,52
2016-06-19,53
2016-06-26,43
2016-07-03,38
2016-07-10,40
2016-07-17,43
2016-07-24,51
2016-07-31,43
2016-08-07,46
2016-08-14,47
2016-08-21,55
2016-08-28,47
2016-09-04,48
2016-09-11,51
2016-09-18,64
2016-09-25,51
2016-10-02,50
2016-10-09,46
2016-10-16,48
2016-10-23,55
2016-10-30,51
2016-11-06,51
2016-11-13,48
2016-11-20,55
2016-11-27,61
2016-12-04,30
2016-12-11,54
2016-12-18,36
2016-12-25,34
