Category: All categories

Week,Petroleum: (Portugal)
2013-01-06,57
2013-01-13,91
2013-01-20,59
2013-01-27,95
2013-02-03,64
2013-02-10,46
2013-02-17,82
2013-02-24,63
2013-03-03,85
2013-03-10,73
2013-03-17,47
2013-03-24,60
2013-03-31,74
2013-04-07,85
2013-04-14,86
2013-04-21,64
2013-04-28,78
2013-05-05,83
2013-05-12,89
2013-05-19,98
2013-05-26,100
2013-06-02,84
2013-06-09,58
2013-06-16,39
2013-06-23,43
2013-06-30,50
2013-07-07,58
2013-07-14,62
2013-07-21,52
2013-07-28,42
2013-08-04,50
2013-08-11,45
2013-08-18,39
2013-08-25,49
2013-09-01,59
2013-09-08,69
2013-09-15,43
2013-09-22,66
2013-09-29,52
2013-10-06,47
2013-10-13,66
2013-10-20,60
2013-10-27,76
2013-11-03,68
2013-11-10,71
2013-11-17,84
2013-11-24,63
2013-12-01,62
2013-12-08,52
2013-12-15,37
2013-12-22,30
2013-12-29,35
