Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2015-01-04,88,29
2015-01-11,100,33
2015-01-18,92,29
2015-01-25,87,36
2015-02-01,77,35
2015-02-08,77,31
2015-02-15,67,35
2015-02-22,93,39
2015-03-01,83,36
2015-03-08,82,40
2015-03-15,81,47
2015-03-22,73,35
2015-03-29,57,37
2015-04-05,72,40
2015-04-12,81,40
2015-04-19,76,40
2015-04-26,71,41
2015-05-03,77,34
2015-05-10,82,50
2015-05-17,77,54
2015-05-24,82,54
2015-05-31,71,51
2015-06-07,74,47
2015-06-14,66,44
2015-06-21,56,51
2015-06-28,55,42
2015-07-05,50,43
2015-07-12,50,45
2015-07-19,50,49
2015-07-26,56,45
2015-08-02,41,47
2015-08-09,43,40
2015-08-16,46,45
2015-08-23,46,44
2015-08-30,53,40
2015-09-06,52,35
2015-09-13,50,39
2015-09-20,58,34
2015-09-27,63,37
2015-10-04,63,36
2015-10-11,66,34
2015-10-18,64,32
2015-10-25,68,34
2015-11-01,69,29
2015-11-08,63,35
2015-11-15,64,41
2015-11-22,68,35
2015-11-29,71,36
2015-12-06,60,45
2015-12-13,64,36
2015-12-20,40,32
2015-12-27,51,30
