Category: All categories

Week,ebook: (Portugal)
2007-01-07,52
2007-01-14,67
2007-01-21,60
2007-01-28,57
2007-02-04,0
2007-02-11,53
2007-02-18,50
2007-02-25,44
2007-03-04,98
2007-03-11,41
2007-03-18,61
2007-03-25,63
2007-04-01,81
2007-04-08,67
2007-04-15,78
2007-04-22,35
2007-04-29,45
2007-05-06,42
2007-05-13,77
2007-05-20,49
2007-05-27,78
2007-06-03,65
2007-06-10,43
2007-06-17,31
2007-06-24,74
2007-07-01,34
2007-07-08,50
2007-07-15,41
2007-07-22,60
2007-07-29,53
2007-08-05,34
2007-08-12,41
2007-08-19,40
2007-08-26,39
2007-09-02,65
2007-09-09,27
2007-09-16,36
2007-09-23,56
2007-09-30,68
2007-10-07,64
2007-10-14,100
2007-10-21,79
2007-10-28,65
2007-11-04,83
2007-11-11,70
2007-11-18,92
2007-11-25,73
2007-12-02,68
2007-12-09,71
2007-12-16,79
2007-12-23,85
2007-12-30,61
