Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2011-01-02,64,22
2011-01-09,82,33
2011-01-16,79,22
2011-01-23,76,28
2011-01-30,73,26
2011-02-06,79,24
2011-02-13,70,24
2011-02-20,82,22
2011-02-27,75,28
2011-03-06,66,22
2011-03-13,86,25
2011-03-20,79,22
2011-03-27,75,21
2011-04-03,69,21
2011-04-10,50,19
2011-04-17,58,19
2011-04-24,72,20
2011-05-01,81,27
2011-05-08,79,25
2011-05-15,91,25
2011-05-22,100,26
2011-05-29,95,25
2011-06-05,88,25
2011-06-12,96,22
2011-06-19,79,16
2011-06-26,99,15
2011-07-03,81,18
2011-07-10,79,17
2011-07-17,91,18
2011-07-24,77,19
2011-07-31,55,19
2011-08-07,46,21
2011-08-14,42,18
2011-08-21,51,17
2011-08-28,43,23
2011-09-04,51,22
2011-09-11,48,23
2011-09-18,57,31
2011-09-25,60,27
2011-10-02,64,26
2011-10-09,60,21
2011-10-16,72,26
2011-10-23,63,27
2011-10-30,58,23
2011-11-06,67,22
2011-11-13,70,23
2011-11-20,64,22
2011-11-27,61,22
2011-12-04,58,26
2011-12-11,66,20
2011-12-18,40,17
2011-12-25,51,17
