Category: All categories

Week,Energy: (Portugal),Beer: (Portugal)
2017-01-01,62,40
2017-01-08,86,39
2017-01-15,94,36
2017-01-22,82,45
2017-01-29,79,35
2017-02-05,80,35
2017-02-12,78,37
2017-02-19,81,41
2017-02-26,79,40
2017-03-05,86,41
2017-03-12,88,45
2017-03-19,81,39
2017-03-26,88,44
2017-04-02,66,41
2017-04-09,66,45
2017-04-16,67,45
2017-04-23,77,45
2017-04-30,84,48
2017-05-07,88,46
2017-05-14,86,56
2017-05-21,87,47
2017-05-28,100,49
2017-06-04,91,55
2017-06-11,78,70
2017-06-18,59,56
2017-06-25,60,55
2017-07-02,64,59
2017-07-09,58,53
2017-07-16,62,52
2017-07-23,50,43
2017-07-30,53,59
2017-08-06,47,57
2017-08-13,46,51
2017-08-20,52,61
2017-08-27,53,54
2017-09-03,53,47
2017-09-10,55,52
2017-09-17,61,52
2017-09-24,62,45
2017-10-01,60,52
2017-10-08,69,56
2017-10-15,73,47
2017-10-22,68,50
2017-10-29,66,45
2017-11-05,70,41
2017-11-12,87,45
2017-11-19,68,51
2017-11-26,74,48
2017-12-03,70,45
2017-12-10,75,45
2017-12-17,58,49
2017-12-24,68,50
2017-12-31,79,45
