Category: All categories

Week,Real Estate: (Portugal)
2017-01-01,94
2017-01-08,89
2017-01-15,90
2017-01-22,89
2017-01-29,89
2017-02-05,91
2017-02-12,88
2017-02-19,87
2017-02-26,84
2017-03-05,89
2017-03-12,91
2017-03-19,91
2017-03-26,88
2017-04-02,78
2017-04-09,70
2017-04-16,82
2017-04-23,78
2017-04-30,77
2017-05-07,83
2017-05-14,79
2017-05-21,81
2017-05-28,92
2017-06-04,90
2017-06-11,85
2017-06-18,77
2017-06-25,83
2017-07-02,80
2017-07-09,80
2017-07-16,79
2017-07-23,82
2017-07-30,77
2017-08-06,80
2017-08-13,78
2017-08-20,88
2017-08-27,92
2017-09-03,88
2017-09-10,86
2017-09-17,88
2017-09-24,91
2017-10-01,86
2017-10-08,89
2017-10-15,89
2017-10-22,91
2017-10-29,85
2017-11-05,85
2017-11-12,88
2017-11-19,70
2017-11-26,68
2017-12-03,70
2017-12-10,70
2017-12-17,62
2017-12-24,71
2017-12-31,85
2018-01-07,92
2018-01-14,97
2018-01-21,99
2018-01-28,100
2018-02-04,88
2018-02-11,92
2018-02-18,88
2018-02-25,93
2018-03-04,88
2018-03-11,83
2018-03-18,89
2018-03-25,84
2018-04-01,88
2018-04-08,90
2018-04-15,83
2018-04-22,83
2018-04-29,85
2018-05-06,87
2018-05-13,86
2018-05-20,88
2018-05-27,88
2018-06-03,87
2018-06-10,83
2018-06-17,70
2018-06-24,81
2018-07-01,83
2018-07-08,85
2018-07-15,84
2018-07-22,82
2018-07-29,85
2018-08-05,83
2018-08-12,89
2018-08-19,91
2018-08-26,90
2018-09-02,92
2018-09-09,92
2018-09-16,96
2018-09-23,95
2018-09-30,89
2018-10-07,90
2018-10-14,95
2018-10-21,88
2018-10-28,74
2018-11-04,85
2018-11-11,90
2018-11-18,81
2018-11-25,80
2018-12-02,74
2018-12-09,74
2018-12-16,67
2018-12-23,68
2018-12-30,74
