Category: All categories

Week,Potato: (Portugal)
2009-01-04,50
2009-01-11,63
2009-01-18,58
2009-01-25,67
2009-02-01,51
2009-02-08,62
2009-02-15,79
2009-02-22,49
2009-03-01,57
2009-03-08,71
2009-03-15,44
2009-03-22,60
2009-03-29,42
2009-04-05,85
2009-04-12,69
2009-04-19,47
2009-04-26,57
2009-05-03,42
2009-05-10,73
2009-05-17,48
2009-05-24,39
2009-05-31,61
2009-06-07,51
2009-06-14,58
2009-06-21,44
2009-06-28,39
2009-07-05,57
2009-07-12,44
2009-07-19,60
2009-07-26,59
2009-08-02,46
2009-08-09,39
2009-08-16,49
2009-08-23,48
2009-08-30,48
2009-09-06,69
2009-09-13,40
2009-09-20,56
2009-09-27,48
2009-10-04,62
2009-10-11,72
2009-10-18,96
2009-10-25,58
2009-11-01,77
2009-11-08,73
2009-11-15,74
2009-11-22,72
2009-11-29,52
2009-12-06,49
2009-12-13,50
2009-12-20,84
2009-12-27,67
2010-01-03,58
2010-01-10,71
2010-01-17,62
2010-01-24,59
2010-01-31,58
2010-02-07,58
2010-02-14,75
2010-02-21,71
2010-02-28,81
2010-03-07,83
2010-03-14,67
2010-03-21,55
2010-03-28,50
2010-04-04,65
2010-04-11,45
2010-04-18,44
2010-04-25,57
2010-05-02,62
2010-05-09,49
2010-05-16,63
2010-05-23,66
2010-05-30,78
2010-06-06,64
2010-06-13,53
2010-06-20,52
2010-06-27,67
2010-07-04,33
2010-07-11,50
2010-07-18,51
2010-07-25,62
2010-08-01,47
2010-08-08,56
2010-08-15,77
2010-08-22,47
2010-08-29,68
2010-09-05,54
2010-09-12,68
2010-09-19,57
2010-09-26,55
2010-10-03,52
2010-10-10,55
2010-10-17,77
2010-10-24,64
2010-10-31,57
2010-11-07,96
2010-11-14,71
2010-11-21,100
2010-11-28,87
2010-12-05,87
2010-12-12,88
2010-12-19,77
2010-12-26,94
