Category: All categories

Week,Jam: (Portugal)
2010-01-03,21
2010-01-10,10
2010-01-17,20
2010-01-24,28
2010-01-31,21
2010-02-07,24
2010-02-14,26
2010-02-21,24
2010-02-28,23
2010-03-07,24
2010-03-14,25
2010-03-21,21
2010-03-28,34
2010-04-04,18
2010-04-11,21
2010-04-18,16
2010-04-25,24
2010-05-02,18
2010-05-09,35
2010-05-16,19
2010-05-23,23
2010-05-30,15
2010-06-06,30
2010-06-13,17
2010-06-20,18
2010-06-27,30
2010-07-04,24
2010-07-11,22
2010-07-18,18
2010-07-25,22
2010-08-01,17
2010-08-08,26
2010-08-15,42
2010-08-22,37
2010-08-29,31
2010-09-05,29
2010-09-12,15
2010-09-19,32
2010-09-26,19
2010-10-03,31
2010-10-10,31
2010-10-17,31
2010-10-24,33
2010-10-31,23
2010-11-07,29
2010-11-14,28
2010-11-21,26
2010-11-28,29
2010-12-05,37
2010-12-12,41
2010-12-19,100
2010-12-26,47
