Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2016-01-03,95,31
2016-01-10,82,33
2016-01-17,88,34
2016-01-24,83,31
2016-01-31,79,26
2016-02-07,67,32
2016-02-14,81,36
2016-02-21,86,30
2016-02-28,92,30
2016-03-06,85,27
2016-03-13,79,37
2016-03-20,66,33
2016-03-27,69,33
2016-04-03,80,36
2016-04-10,89,35
2016-04-17,87,29
2016-04-24,88,34
2016-05-01,91,34
2016-05-08,97,34
2016-05-15,100,30
2016-05-22,95,32
2016-05-29,98,37
2016-06-05,77,33
2016-06-12,83,28
2016-06-19,57,27
2016-06-26,62,34
2016-07-03,59,34
2016-07-10,56,33
2016-07-17,60,33
2016-07-24,60,30
2016-07-31,50,33
2016-08-07,45,34
2016-08-14,45,34
2016-08-21,54,33
2016-08-28,64,40
2016-09-04,59,34
2016-09-11,60,33
2016-09-18,70,29
2016-09-25,75,37
2016-10-02,75,32
2016-10-09,74,35
2016-10-16,73,31
2016-10-23,77,32
2016-10-30,71,31
2016-11-06,88,29
2016-11-13,83,33
2016-11-20,79,32
2016-11-27,77,39
2016-12-04,69,37
2016-12-11,63,34
2016-12-18,51,37
2016-12-25,58,41
