Category: All categories

Week,Tobacco: (Portugal)
2011-01-02,49
2011-01-09,19
2011-01-16,85
2011-01-23,50
2011-01-30,61
2011-02-06,70
2011-02-13,31
2011-02-20,53
2011-02-27,0
2011-03-06,44
2011-03-13,66
2011-03-20,51
2011-03-27,49
2011-04-03,100
2011-04-10,64
2011-04-17,67
2011-04-24,82
2011-05-01,39
2011-05-08,49
2011-05-15,57
2011-05-22,44
2011-05-29,72
2011-06-05,64
2011-06-12,58
2011-06-19,67
2011-06-26,43
2011-07-03,18
2011-07-10,54
2011-07-17,12
2011-07-24,40
2011-07-31,40
2011-08-07,92
2011-08-14,62
2011-08-21,54
2011-08-28,41
2011-09-04,39
2011-09-11,56
2011-09-18,30
2011-09-25,67
2011-10-02,46
2011-10-09,66
2011-10-16,86
2011-10-23,38
2011-10-30,50
2011-11-06,11
2011-11-13,61
2011-11-20,41
2011-11-27,49
2011-12-04,52
2011-12-11,92
2011-12-18,70
2011-12-25,51
2012-01-01,69
2012-01-08,40
2012-01-15,73
2012-01-22,47
2012-01-29,34
2012-02-05,60
2012-02-12,32
2012-02-19,44
2012-02-26,27
2012-03-04,41
2012-03-11,44
2012-03-18,54
2012-03-25,20
2012-04-01,23
2012-04-08,57
2012-04-15,52
2012-04-22,34
2012-04-29,56
2012-05-06,56
2012-05-13,50
2012-05-20,38
2012-05-27,59
2012-06-03,49
2012-06-10,41
2012-06-17,46
2012-06-24,0
2012-07-01,76
2012-07-08,49
2012-07-15,35
2012-07-22,25
2012-07-29,45
2012-08-05,26
2012-08-12,96
2012-08-19,44
2012-08-26,40
2012-09-02,33
2012-09-09,53
2012-09-16,54
2012-09-23,66
2012-09-30,38
2012-10-07,26
2012-10-14,57
2012-10-21,35
2012-10-28,44
2012-11-04,59
2012-11-11,0
2012-11-18,41
2012-11-25,41
2012-12-02,43
2012-12-09,28
2012-12-16,21
2012-12-23,34
2012-12-30,21
