Category: All categories

Week,Electricity: (Portugal)
2015-01-04,100
2015-01-11,90
2015-01-18,91
2015-01-25,81
2015-02-01,80
2015-02-08,69
2015-02-15,80
2015-02-22,79
2015-03-01,83
2015-03-08,74
2015-03-15,71
2015-03-22,62
2015-03-29,54
2015-04-05,62
2015-04-12,66
2015-04-19,62
2015-04-26,52
2015-05-03,67
2015-05-10,69
2015-05-17,64
2015-05-24,76
2015-05-31,50
2015-06-07,51
2015-06-14,54
2015-06-21,55
2015-06-28,56
2015-07-05,45
2015-07-12,49
2015-07-19,57
2015-07-26,46
2015-08-02,45
2015-08-09,53
2015-08-16,52
2015-08-23,48
2015-08-30,57
2015-09-06,55
2015-09-13,61
2015-09-20,58
2015-09-27,57
2015-10-04,50
2015-10-11,55
2015-10-18,66
2015-10-25,65
2015-11-01,66
2015-11-08,61
2015-11-15,64
2015-11-22,61
2015-11-29,65
2015-12-06,65
2015-12-13,53
2015-12-20,54
2015-12-27,62
2016-01-03,70
2016-01-10,64
2016-01-17,67
2016-01-24,81
2016-01-31,69
2016-02-07,58
2016-02-14,63
2016-02-21,78
2016-02-28,71
2016-03-06,77
2016-03-13,69
2016-03-20,50
2016-03-27,58
2016-04-03,69
2016-04-10,66
2016-04-17,57
2016-04-24,69
2016-05-01,71
2016-05-08,64
2016-05-15,65
2016-05-22,70
2016-05-29,68
2016-06-05,63
2016-06-12,52
2016-06-19,55
2016-06-26,62
2016-07-03,53
2016-07-10,52
2016-07-17,42
2016-07-24,55
2016-07-31,60
2016-08-07,50
2016-08-14,53
2016-08-21,51
2016-08-28,52
2016-09-04,50
2016-09-11,52
2016-09-18,56
2016-09-25,60
2016-10-02,65
2016-10-09,64
2016-10-16,53
2016-10-23,56
2016-10-30,63
2016-11-06,51
2016-11-13,65
2016-11-20,67
2016-11-27,68
2016-12-04,67
2016-12-11,68
2016-12-18,73
2016-12-25,77
