Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2013-01-06,85,0
2013-01-13,81,0
2013-01-20,87,1
2013-01-27,77,3
2013-02-03,76,4
2013-02-10,63,2
2013-02-17,76,1
2013-02-24,82,4
2013-03-03,87,2
2013-03-10,70,0
2013-03-17,61,2
2013-03-24,70,1
2013-03-31,75,1
2013-04-07,89,0
2013-04-14,80,1
2013-04-21,75,2
2013-04-28,86,0
2013-05-05,78,0
2013-05-12,89,3
2013-05-19,97,1
2013-05-26,100,0
2013-06-02,81,0
2013-06-09,63,0
2013-06-16,62,1
2013-06-23,55,2
2013-06-30,49,1
2013-07-07,49,3
2013-07-14,54,2
2013-07-21,47,1
2013-07-28,40,0
2013-08-04,39,0
2013-08-11,34,2
2013-08-18,42,3
2013-08-25,44,1
2013-09-01,44,0
2013-09-08,51,0
2013-09-15,53,1
2013-09-22,59,2
2013-09-29,65,0
2013-10-06,65,1
2013-10-13,63,2
2013-10-20,67,1
2013-10-27,69,0
2013-11-03,71,2
2013-11-10,72,1
2013-11-17,74,3
2013-11-24,87,1
2013-12-01,98,2
2013-12-08,87,2
2013-12-15,65,0
2013-12-22,54,1
2013-12-29,65,2
