Category: All categories

Week,Footwear: (Portugal)
2018-01-07,90
2018-01-14,87
2018-01-21,49
2018-01-28,48
2018-02-04,55
2018-02-11,50
2018-02-18,38
2018-02-25,86
2018-03-04,63
2018-03-11,70
2018-03-18,80
2018-03-25,60
2018-04-01,66
2018-04-08,37
2018-04-15,70
2018-04-22,100
2018-04-29,46
2018-05-06,59
2018-05-13,16
2018-05-20,65
2018-05-27,49
2018-06-03,60
2018-06-10,69
2018-06-17,53
2018-06-24,29
2018-07-01,41
2018-07-08,42
2018-07-15,67
2018-07-22,0
2018-07-29,34
2018-08-05,55
2018-08-12,18
2018-08-19,32
2018-08-26,30
2018-09-02,39
2018-09-09,31
2018-09-16,39
2018-09-23,34
2018-09-30,61
2018-10-07,72
2018-10-14,63
2018-10-21,55
2018-10-28,50
2018-11-04,33
2018-11-11,54
2018-11-18,82
2018-11-25,67
2018-12-02,55
2018-12-09,77
2018-12-16,31
2018-12-23,48
2018-12-30,24
