Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2015-01-04,14,54
2015-01-11,15,51
2015-01-18,15,55
2015-01-25,13,56
2015-02-01,12,57
2015-02-08,12,80
2015-02-15,11,64
2015-02-22,15,62
2015-03-01,13,64
2015-03-08,13,58
2015-03-15,13,60
2015-03-22,11,58
2015-03-29,9,72
2015-04-05,11,57
2015-04-12,13,57
2015-04-19,12,60
2015-04-26,11,71
2015-05-03,12,58
2015-05-10,13,60
2015-05-17,12,55
2015-05-24,13,62
2015-05-31,11,63
2015-06-07,12,61
2015-06-14,10,58
2015-06-21,9,68
2015-06-28,9,68
2015-07-05,8,66
2015-07-12,8,72
2015-07-19,8,75
2015-07-26,9,74
2015-08-02,7,82
2015-08-09,7,94
2015-08-16,7,95
2015-08-23,7,93
2015-08-30,9,75
2015-09-06,8,73
2015-09-13,8,65
2015-09-20,9,71
2015-09-27,10,64
2015-10-04,10,61
2015-10-11,10,67
2015-10-18,10,67
2015-10-25,11,66
2015-11-01,11,65
2015-11-08,10,65
2015-11-15,10,65
2015-11-22,11,64
2015-11-29,11,73
2015-12-06,9,81
2015-12-13,10,77
2015-12-20,6,73
2015-12-27,8,100
