Category: All categories

Week,Petroleum: (Portugal)
2018-01-07,70
2018-01-14,64
2018-01-21,55
2018-01-28,63
2018-02-04,55
2018-02-11,73
2018-02-18,54
2018-02-25,65
2018-03-04,56
2018-03-11,55
2018-03-18,51
2018-03-25,39
2018-04-01,50
2018-04-08,50
2018-04-15,64
2018-04-22,66
2018-04-29,57
2018-05-06,80
2018-05-13,100
2018-05-20,91
2018-05-27,85
2018-06-03,80
2018-06-10,61
2018-06-17,49
2018-06-24,63
2018-07-01,54
2018-07-08,62
2018-07-15,44
2018-07-22,42
2018-07-29,50
2018-08-05,54
2018-08-12,54
2018-08-19,38
2018-08-26,25
2018-09-02,49
2018-09-09,58
2018-09-16,44
2018-09-23,79
2018-09-30,59
2018-10-07,51
2018-10-14,67
2018-10-21,74
2018-10-28,82
2018-11-04,63
2018-11-11,77
2018-11-18,92
2018-11-25,94
2018-12-02,90
2018-12-09,68
2018-12-16,68
2018-12-23,98
2018-12-30,62
