Category: All categories

Week,Shoes: (Portugal)
2011-01-02,65
2011-01-09,54
2011-01-16,54
2011-01-23,56
2011-01-30,58
2011-02-06,64
2011-02-13,58
2011-02-20,59
2011-02-27,61
2011-03-06,61
2011-03-13,60
2011-03-20,75
2011-03-27,69
2011-04-03,79
2011-04-10,79
2011-04-17,81
2011-04-24,71
2011-05-01,75
2011-05-08,73
2011-05-15,73
2011-05-22,66
2011-05-29,67
2011-06-05,69
2011-06-12,67
2011-06-19,58
2011-06-26,55
2011-07-03,73
2011-07-10,64
2011-07-17,64
2011-07-24,61
2011-07-31,68
2011-08-07,67
2011-08-14,66
2011-08-21,81
2011-08-28,82
2011-09-04,86
2011-09-11,83
2011-09-18,76
2011-09-25,78
2011-10-02,77
2011-10-09,75
2011-10-16,82
2011-10-23,100
2011-10-30,85
2011-11-06,82
2011-11-13,76
2011-11-20,76
2011-11-27,86
2011-12-04,76
2011-12-11,76
2011-12-18,66
2011-12-25,78
2012-01-01,78
2012-01-08,76
2012-01-15,75
2012-01-22,69
2012-01-29,77
2012-02-05,67
2012-02-12,78
2012-02-19,87
2012-02-26,77
2012-03-04,92
2012-03-11,92
2012-03-18,95
2012-03-25,91
2012-04-01,91
2012-04-08,87
2012-04-15,88
2012-04-22,85
2012-04-29,82
2012-05-06,89
2012-05-13,88
2012-05-20,88
2012-05-27,94
2012-06-03,95
2012-06-10,82
2012-06-17,80
2012-06-24,74
2012-07-01,77
2012-07-08,81
2012-07-15,73
2012-07-22,75
2012-07-29,78
2012-08-05,81
2012-08-12,74
2012-08-19,72
2012-08-26,73
2012-09-02,80
2012-09-09,81
2012-09-16,80
2012-09-23,100
2012-09-30,87
2012-10-07,85
2012-10-14,93
2012-10-21,89
2012-10-28,82
2012-11-04,76
2012-11-11,71
2012-11-18,69
2012-11-25,79
2012-12-02,77
2012-12-09,77
2012-12-16,67
2012-12-23,79
2012-12-30,75
