Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2014-01-05,85,9
2014-01-12,80,10
2014-01-19,80,10
2014-01-26,82,11
2014-02-02,73,9
2014-02-09,80,8
2014-02-16,71,9
2014-02-23,76,9
2014-03-02,68,13
2014-03-09,72,30
2014-03-16,81,53
2014-03-23,86,32
2014-03-30,77,20
2014-04-06,62,22
2014-04-13,61,22
2014-04-20,67,25
2014-04-27,67,16
2014-05-04,79,44
2014-05-11,86,25
2014-05-18,99,19
2014-05-25,100,18
2014-06-01,97,15
2014-06-08,88,19
2014-06-15,84,18
2014-06-22,78,9
2014-06-29,69,17
2014-07-06,69,17
2014-07-13,61,17
2014-07-20,52,19
2014-07-27,51,17
2014-08-03,48,15
2014-08-10,41,13
2014-08-17,51,15
2014-08-24,46,20
2014-08-31,62,13
2014-09-07,56,13
2014-09-14,66,12
2014-09-21,66,11
2014-09-28,72,13
2014-10-05,79,9
2014-10-12,71,10
2014-10-19,64,13
2014-10-26,74,10
2014-11-02,72,11
2014-11-09,76,7
2014-11-16,67,12
2014-11-23,66,8
2014-11-30,63,7
2014-12-07,74,12
2014-12-14,65,9
2014-12-21,58,10
2014-12-28,73,13
