Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2007-01-07,34,81
2007-01-14,36,90
2007-01-21,32,82
2007-01-28,36,74
2007-02-04,29,85
2007-02-11,27,82
2007-02-18,24,84
2007-02-25,28,72
2007-03-04,39,67
2007-03-11,31,75
2007-03-18,37,73
2007-03-25,27,71
2007-04-01,28,73
2007-04-08,38,74
2007-04-15,41,80
2007-04-22,39,74
2007-04-29,34,88
2007-05-06,49,81
2007-05-13,48,78
2007-05-20,45,94
2007-05-27,47,75
2007-06-03,47,78
2007-06-10,39,83
2007-06-17,26,81
2007-06-24,26,80
2007-07-01,23,77
2007-07-08,22,68
2007-07-15,22,83
2007-07-22,21,81
2007-07-29,20,82
2007-08-05,17,81
2007-08-12,21,91
2007-08-19,23,100
2007-08-26,17,77
2007-09-02,30,87
2007-09-09,21,88
2007-09-16,26,79
2007-09-23,35,76
2007-09-30,28,78
2007-10-07,35,84
2007-10-14,38,83
2007-10-21,36,82
2007-10-28,35,68
2007-11-04,41,78
2007-11-11,42,65
2007-11-18,37,70
2007-11-25,42,65
2007-12-02,38,58
2007-12-09,38,53
2007-12-16,22,47
2007-12-23,21,64
2007-12-30,25,78
