Category: All categories

Week,Electricity: (Portugal)
2012-01-01,45
2012-01-08,65
2012-01-15,59
2012-01-22,55
2012-01-29,47
2012-02-05,60
2012-02-12,58
2012-02-19,59
2012-02-26,56
2012-03-04,51
2012-03-11,50
2012-03-18,48
2012-03-25,59
2012-04-01,35
2012-04-08,47
2012-04-15,56
2012-04-22,55
2012-04-29,66
2012-05-06,76
2012-05-13,66
2012-05-20,68
2012-05-27,59
2012-06-03,51
2012-06-10,42
2012-06-17,47
2012-06-24,47
2012-07-01,62
2012-07-08,47
2012-07-15,49
2012-07-22,46
2012-07-29,38
2012-08-05,49
2012-08-12,41
2012-08-19,42
2012-08-26,31
2012-09-02,48
2012-09-09,60
2012-09-16,52
2012-09-23,53
2012-09-30,45
2012-10-07,45
2012-10-14,62
2012-10-21,53
2012-10-28,49
2012-11-04,54
2012-11-11,49
2012-11-18,50
2012-11-25,56
2012-12-02,69
2012-12-09,66
2012-12-16,84
2012-12-23,100
2012-12-30,87
